년,월,국민외국인구분,승객승무원구분,출입국구분,출입국자수
2022,01,국민,승객,입국,90325
2022,01,국민,승객,출국,110876
2022,01,국민,승무원,입국,37397
2022,01,국민,승무원,출국,37459
2022,01,외국인,승객,입국,49980
2022,01,외국인,승객,출국,59749
2022,01,외국인,승무원,입국,39774
2022,01,외국인,승무원,출국,39444
2022,02,국민,승객,입국,81128
2022,02,국민,승객,출국,81003
2022,02,국민,승무원,입국,32244
2022,02,국민,승무원,출국,32401
2022,02,외국인,승객,입국,74896
2022,02,외국인,승객,출국,47935
2022,02,외국인,승무원,입국,35010
2022,02,외국인,승무원,출국,33786
2022,03,국민,승객,입국,90448
2022,03,국민,승객,출국,107717
2022,03,국민,승무원,입국,38504
2022,03,국민,승무원,출국,38693
2022,03,외국인,승객,입국,68643
2022,03,외국인,승객,출국,60380
2022,03,외국인,승무원,입국,39415
2022,03,외국인,승무원,출국,38759
2022,04,국민,승객,입국,162922
2022,04,국민,승객,출국,177367
2022,04,국민,승무원,입국,39103
2022,04,국민,승무원,출국,39340
2022,04,외국인,승객,입국,102506
2022,04,외국인,승객,출국,84052
2022,04,외국인,승무원,입국,37111
2022,04,외국인,승무원,출국,36621
2022,05,국민,승객,입국,258362
2022,05,국민,승객,출국,274621
2022,05,국민,승무원,입국,43191
2022,05,국민,승무원,출국,43303
2022,05,외국인,승객,입국,148030
2022,05,외국인,승객,출국,123846
2022,05,외국인,승무원,입국,41648
2022,05,외국인,승무원,출국,40512
2022,06,국민,승객,입국,378232
2022,06,국민,승객,출국,370522
2022,06,국민,승무원,입국,43704
2022,06,국민,승무원,출국,44529
2022,06,외국인,승객,입국,201972
2022,06,외국인,승객,출국,174379
2022,06,외국인,승무원,입국,41542
2022,06,외국인,승무원,출국,40379
2022,07,국민,승객,입국,538672
2022,07,국민,승객,출국,618473
2022,07,국민,승무원,입국,57075
2022,07,국민,승무원,출국,58129
2022,07,외국인,승객,입국,239129
2022,07,외국인,승객,출국,229181
