대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
아시아주,중국,남성,1547319,20218,48501,42198,42072,127533,171248,178288,198887,154204,101844,88398,72035,101530,103649,64857,24266,7591
아시아주,중국,여성,2885448,19639,48288,51427,100853,411050,530665,414541,345938,219998,138362,135280,126485,136679,111676,65132,21236,8199
아시아주,일본,남성,1027278,12215,15801,20614,32383,108343,117569,88757,76865,87989,96110,106239,87611,65574,44027,33302,23000,10879
아시아주,일본,여성,2215226,12148,17984,36824,108139,418027,398895,215458,137809,132593,149745,183480,151905,104691,65263,43207,26203,12855
아시아주,타이완,남성,494801,9754,20772,24749,20805,32393,53619,61551,50008,51493,47332,36060,28289,22769,17335,11116,4468,2288
아시아주,타이완,여성,996478,9990,21818,32460,39325,90527,140877,132972,100848,104771,94884,71570,55974,42465,30065,18219,6451,3262
아시아주,홍콩,남성,175587,2162,6629,9297,8929,13853,19841,20280,16673,15584,14251,12884,11304,10604,7026,3883,1695,692
아시아주,홍콩,여성,389847,2333,6878,13669,21063,44932,59245,51757,36965,32632,29399,28826,22940,18777,11370,5734,2470,857
아시아주,베트남,남성,227698,2242,3748,4661,12791,25241,29074,37553,33646,23826,15393,13513,11205,8488,4277,1484,450,106
아시아주,베트남,여성,302008,2120,3829,5419,17556,36847,45220,46325,36870,28129,22535,19551,16372,12193,6273,2049,590,130
아시아주,싱가포르,남성,146435,4003,6136,6730,7092,10490,15241,16967,14653,13243,12925,12547,9449,7337,5218,2814,1231,359
아시아주,싱가포르,여성,212663,3995,6446,8410,10908,20871,26547,24586,19525,18449,18221,17356,13243,10547,7277,3879,1722,681
아시아주,필리핀,남성,152890,2022,3252,4047,4908,7414,20198,28835,24026,17628,13070,9969,7079,4953,3009,1514,707,259
아시아주,필리핀,여성,183639,2004,3316,4966,6298,10715,25554,30599,23330,18828,15316,12050,10780,8770,5830,3122,1473,688
