이름,카테고리,주소,위도,경도,전화번호,링크
장인닭갈비 강남점,한식>닭갈비,서울특별시 강남구 테헤란로1길 19,37.4996548,127.0274938,,https://jangindak.co.kr/
고수닭갈비,한식>닭갈비,서울특별시 강남구 강남대로96길 12 지천빌딩 지하1층,37.4997744,127.0281716,,
부대찌개대사관 선릉직영점,"한식>찌개,전골",서울특별시 강남구 선릉로86길 24 지상 1층,37.5034990,127.0516770,,https://blog.naver.com/embassy-
노티드 스튜디오 청담,"음식점>카페,디저트>카페",서울특별시 강남구 도산대로53길 15 1층,37.5241929,127.0383006,,https://smartstore.naver.com/cafeknotted
무탄 코엑스점,중식>중식당,서울특별시 강남구 영동대로 513 스타필드 코엑스 B1층 H121호,37.5113180,127.0584607,,https://naver.me/5xnwgcBy
뉴욕러브베이글 강남본점,"카페,디저트>베이글",서울특별시 강남구 봉은사로2길 31 W빌딩 1층,37.5026122,127.0263860,,https://www.nylovebagel.com/
런던베이글뮤지엄 도산,"카페,디저트>베이커리","서울특별시 강남구 언주로168길 33 1, 2층",37.5260816,127.0364528,,https://app.catchtable.co.kr/ct/shop/london_bagel_museum_dosan
셀렉티드닉스,"음식점>카페,디저트",서울특별시 강남구 테헤란로4길 37 1층,37.4961927,127.0309070,,https://www.instagram.com/sltdnicks/
SADDLER HAUS,"카페,디저트>와플",서울특별시 강남구 도산대로17길 10 B1 새들러하우스,37.5193887,127.0249425,,https://www.instagram.com/saddlerhaus_bakery
솥내음 스타필드 코엑스몰점,음식점>한식,서울특별시 강남구 영동대로 513 지하1층 O-107호 라운지,37.5137665,127.0588841,,https://map.naver.com/p/entry/place/2017586094
류몽민 학동역점,한식>닭갈비,서울특별시 강남구 학동로25길 11 씨플레이스 2층 101호,37.5143513,127.0289295,,https://smartstore.naver.com/ryumokmin
중앙해장,음식점>한식>해장국,서울특별시 강남구 영동대로86길 17 육인빌딩,37.5082495,127.0655417,,http://www.joongangfnb.com
소보키 강남점,술집>요리주점,서울특별시 강남구 봉은사로18길 80 1층,37.5016151,127.0273302,,https://www.tabling.co.kr/restaurant/8588
골드피쉬 딤섬퀴진,술집>요리주점,서울특별시 강남구 압구정로48길 35 투구빌딩 2층,37.5260858,127.0371102,,https://app.catchtable.co.kr/ct/shop/goldfishkorea
주신당 강남,술집>요리주점,서울특별시 강남구 강남대로96길 9 B1,37.4999163,127.0276743,,https://go.catchtable.co.kr/mb48lq
츄라우미 강남본점,술집>요리주점,서울특별시 강남구 언주로93길 21 남전타운,37.5033383,127.0403396,,https://app.catchtable.co.kr/ct/shop/churaumiizakaya
미나리밭오리사냥 강남역점,한식>오리요리,서울특별시 강남구 테헤란로1길 28-8 1층,37.5003294,127.0281201,,https://www.instagram.com/minari_duck
김태완스시 대치본점,"음식점>일식>초밥,롤",서울특별시 강남구 선릉로64길 20 1층,37.4979913,127.0539477,,
동어동락 삼성본점,한식>생선회,서울특별시 강남구 삼성로96길 7 1층,37.5088156,127.0564470,,https://app.catchtable.co.kr/ct/shop/dongadongrock_samseong
대진 도원참치 강남역점,한식>생선회,서울특별시 강남구 테헤란로 113 목화밀라트 지하1층 도원참치 강남역,37.4988646,127.0296469,,https://youtube.com/@dowontuna
후토시 대치본점,음식점>일식>일식당,서울특별시 강남구 삼성로 212 은마종합상가 A블럭 지하40호,37.4956812,127.0634712,,https://www.instagram.com/futoshi_seoul/
스시마이우 선릉역점,"음식점>일식>초밥,롤",서울특별시 강남구 선릉로93길 22,37.5049240,127.0467449,,
보슬보슬 역삼본점,분식>종합분식,서울특별시 강남구 논현로85길 59 남곡빌딩 1층,37.4977095,127.0332676,,https://www.instagram.com/boseulboseul
플레이팅 수서역사점,음식점>푸드코트,서울특별시 강남구 밤고개로 99 지하1층 SB15호,37.4853596,127.1045727,,
도산분식 도산공원점,분식>종합분식,서울특별시 강남구 도산대로49길 10-6 젤로빌딩,37.5237122,127.0379130,,http://www.instagram.com/dosanbunsik
사이드쇼 코엑스점,음식점>분식,서울특별시 강남구 테헤란로87길 22 지하1층 Q124호,37.5093045,127.0592509,,https://www.instagram.com/sideshow.official
보슬보슬 압구정본점,분식>종합분식,"서울특별시 강남구 압구정로 216 지상 1층 16, 17, 18, 19호",37.5279499,127.0311757,,https://www.instagram.com/boseulboseul
이디야커피랩,"카페,디저트>카페",서울특별시 강남구 논현로 636 이디야빌딩,37.5104275,127.0328569,,http://www.ediya.com/
테라로사 포스코센터점,"카페,디저트>카페",서울특별시 강남구 테헤란로 440 포스코센터 1층,37.5060634,127.0560829,,https://terarosa.com
썸띵어바웃커피,"음식점>카페,디저트","서울특별시 강남구 강남대로102길 30 1, 2, 3층",37.5028451,127.0278394,,
꽁티드툴레아,음식점>브런치,서울특별시 강남구 도산대로49길 39,37.5255700,127.0369045,,http://www.contedetulear.com
치즈룸 안다즈,음식점>이탈리아음식,서울특별시 강남구 논현로 854 안다즈호텔 지하 1층 112호,37.5253216,127.0288651,,https://app.catchtable.co.kr/ct/shop/cheeseroom?from=share&type=DINING
페어링룸,음식점>이탈리아음식,서울특별시 강남구 도산대로81길 14 1층,37.5254116,127.0478303,,https://app.catchtable.co.kr/ct/shop/pairingroom?from=share&type=DINING
백소정 고덕역점,음식점>일식>일식당,서울특별시 강동구 동남로75길 13-10 1층 105호,37.5538677,127.1550643,,https://baeksojeong.com/
