이름,세부카테고리,주소,위도,경도,전화번호,링크
보슬보슬 역삼본점,분식>종합분식,서울특별시 강남구 논현로85길 59 남곡빌딩 1층,37.4977095,127.0332676,,https://www.instagram.com/boseulboseul
도산분식 도산공원점,분식>종합분식,서울특별시 강남구 도산대로49길 10-6 젤로빌딩,37.5237122,127.0379130,,http://www.instagram.com/dosanbunsik
보슬보슬 압구정본점,분식>종합분식,"서울특별시 강남구 압구정로 216 지상 1층 16, 17, 18, 19호",37.5279499,127.0311757,,https://www.instagram.com/boseulboseul
깨돌이김밥,분식>김밥,서울특별시 강동구 천호대로157길 54,37.5400702,127.1280290,,
제일분식,분식>떡볶이,서울특별시 강북구 숭인로 65-3,37.6126969,127.0289893,,
맛밥김밥전문점 삼양점,분식>김밥,서울특별시 강북구 솔샘로 254 삼양아케이트,37.6193949,127.0208540,,
썬데이스낵,분식>종합분식,서울특별시 강북구 도봉로10길 54 남상빌딩 1층,37.6150353,127.0309388,,https://smartstore.naver.com/sundaysnack
이삭토스트 수유역점,분식>토스트,서울특별시 강북구 오패산로 413,37.6374221,127.0262746,,https://smartorder.beaverworksinc.com/brand/901216
화곡미담분식 까치산본점,분식>종합분식,서울특별시 강서구 강서로7길 15 화곡미담분식,37.5295334,126.8468994,,https://www.instagram.com/midamfriends
이삭토스트 까치산역점,분식>토스트,서울특별시 강서구 강서로 47 형진빌딩 1층 102호 이삭토스트,37.5319446,126.8463822,,https://smartorder.beaverworksinc.com/brand/901216
오월의김밥,분식>김밥,서울특별시 관악구 봉천로 605 102호,37.4760838,126.9646138,,
싸다김밥 사당역점,분식>김밥,서울특별시 관악구 남현길 7 1층102호,37.4761717,126.9776738,,
황순애신토불이떡볶이,분식>떡볶이,서울특별시 광진구 천호대로129길 15 102호,37.5527299,127.0904770,,
신토불이 떡볶이 본점,분식>떡볶이,서울특별시 광진구 자양로43길 42,37.5526000,127.0905000,,
순금이떡볶이 아차산 본점,분식>떡볶이,서울특별시 광진구 자양로43길 43,37.5525171,127.0902000,,
모두랑,분식>종합분식,서울특별시 광진구 자양로28길 24,37.5420971,127.0855240,,http://모두랑.com/
이화만두,분식>만두,서울특별시 광진구 능동로 278-1 이화만두,37.5547266,127.0784423,,https://instagram.com/ewhamandu
먹깨비김밥,분식>김밥,서울특별시 구로구 디지털로32길 87,37.4832881,126.9000183,,
연희김밥,분식>김밥,서울특별시 구로구 오리로 1149 비110호,37.4867220,126.8383748,,
할매손충무김밥 홈플러스 금천점,분식>김밥,서울특별시 금천구 시흥대로 391,37.4686638,126.8968853,,
김밥전문공간얌얌 본점,분식>김밥,서울특별시 금천구 금하로 675 1층,37.4527873,126.9053869,,
피노키오냉면,분식>종합분식,서울특별시 노원구 한글비석로 474 보람상가,37.6648548,127.0654931,,
쪼매매운떡볶이 공릉,분식>떡볶이,서울특별시 노원구 공릉로 208,37.6281849,127.0778159,,
점순이하우스,분식>종합분식,서울특별시 도봉구 노해로63길 84-3,37.6527003,127.0469032,,
명동분식 방학본점,분식>종합분식,서울특별시 도봉구 도당로13가길 6 도깨비시장 명동분식,37.6655143,127.0358318,,
도레미분식 즉석떡볶이,분식>떡볶이,서울특별시 도봉구 삼양로144길 18,37.6513487,127.0138750,,http://instagram.com/doremi__yum
스토리웨이 도봉산역맞이방분식점,분식>종합분식,서울특별시 동대문구 회기로26길 15,37.5902492,127.0532223,,
의정부맞이방스넥점,분식>종합분식,서울특별시 동대문구 왕산로 214,37.5813870,127.0489790,,
놀부만두,분식>만두,"서울특별시 동대문구 망우로16길 15 1F, 놀부만두",37.5893787,127.0614705,,
서울김밥 장안점,분식>김밥,서울특별시 동대문구 답십리로72길 24 1층 서울김밥,37.5710390,127.0740230,,
애플하우스,분식>떡볶이,서울특별시 동작구 동작대로27다길 29 2층,37.4863013,126.9806796,,
이삭토스트 신대방삼거리역점,분식>토스트,서울특별시 동작구 국사봉1길 7,37.4989692,126.9289469,,https://smartorder.beaverworksinc.com/brand/901216
방배김밥 본점,분식>김밥,서울특별시 동작구 동작대로27길 59-16,37.4881355,126.9783882,,https://bbkb.co.kr/
그동네떡볶이 연남점,분식>종합분식,서울특별시 마포구 동교로 243 1층,37.5616751,126.9241019,,
홍대조폭떡볶이 홍대2호점,분식>떡볶이,서울특별시 마포구 홍익로6길 38 1층,37.5558918,126.9237556,,
홍대씨부엉,분식>떡볶이,서울특별시 마포구 와우산로21길 28-6,37.5525889,126.9223397,,
연희김밥 본점,분식>김밥,서울특별시 서대문구 연희로11가길 2,37.5680852,126.9294260,,
키친봄날,분식>김밥,서울특별시 서대문구 신촌로11길 62 1층 키친봄날,37.5589511,126.9344517,,
엄마손떡볶이,분식>떡볶이,서울특별시 서대문구 증가로10길 37,37.5789339,126.9241615,,
오렌지김밥 본점,분식>김밥,서울특별시 서대문구 세무서길 43-1 1층 오렌지김밥,37.5899197,126.9458807,,
불란집,분식>종합분식,서울특별시 서대문구 통일로 445,37.5884493,126.9442653,,
