이름,세부카테고리,주소,위도,경도,전화번호,링크
이케아 강동점,"쇼핑,유통>가구",서울특별시 강동구 고덕비즈밸리로 51,37.5668520,127.1569410,,https://www.ikea.com/kr/ko/stores/gangdong/
영풍문고 김포공항롯데점,"쇼핑,유통>서점",서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 MF,37.5631048,126.8033587,,https://www.ypbooks.co.kr/
영풍문고 신림점,"쇼핑,유통>서점",서울특별시 관악구 신림로 330 신림타임스트림 7층,37.4838598,126.9302425,,https://www.ypbooks.co.kr/
롯데백화점 노원점,"쇼핑,유통>백화점",서울특별시 노원구 동일로 1414,37.6551094,127.0611155,,https://www.lotteshopping.com/store/main?cstrCd=0022
롯데백화점 청량리점,"쇼핑,유통>백화점",서울특별시 동대문구 왕산로 214,37.5807360,127.0475117,,https://www.lotteshopping.com/store/main?cstrCd=0004
네스프레소 본사,"쇼핑,유통>차,커피","서울특별시 서대문구 충정로 70 웨스트게이트타워 12층,16층",37.5648597,126.9663678,,http://www.nespresso.com/
NC백화점 송파점,"쇼핑,유통>백화점",서울특별시 송파구 충민로 66 가든파이브라이프,37.4770920,127.1257987,,https://www.elandretail.com/store01.do?branchID=00110008&lang=000600KO
롯데백화점 영등포점,"쇼핑,유통>백화점",서울특별시 영등포구 경인로 846,37.5162220,126.9075357,,https://www.lotteshopping.com/store/main?cstrCd=0010
아이파크몰 용산점,"쇼핑,유통>쇼핑센터,할인매장",서울특별시 용산구 한강대로23길 55,37.5294246,126.9651668,,https://www.hdc-iparkmall.com
부산어묵,"쇼핑,유통>가공식품",서울특별시 용산구 효창원로42길 6,37.5368640,126.9598010,,http://www.fishcake.co.kr/
롯데백화점 김포공항점,"쇼핑,유통>백화점",서울특별시 강서구 하늘길 77 롯데백화점김포공항점,37.5631779,126.8030981,,https://www.lotteshopping.com/store/main?cstrCd=0340
롯데백화점 건대스타시티점,"쇼핑,유통>백화점",서울특별시 광진구 능동로 92,37.5390773,127.0711558,,https://www.lotteshopping.com/store/main?cstrCd=0028
후레쉬365마트,"쇼핑,유통>슈퍼,마트",서울특별시 성북구 종암로 94,37.5987719,127.0349208,,
업소용주방용품중고주방가전카페식당폐업정리,"쇼핑,유통>종합생활용품",서울특별시 중구 약수동,37.5524790,127.0090020,,
가경정육점 수유재래시장점,"쇼핑,유통>정육점",서울특별시 강북구 도봉로71길 26 수유재래시장 나-6 가경정육점,37.6314003,127.0225986,,https://vr-tour.kr/suyujaelae-market
알파오메가 상계역점,"쇼핑,유통>가정,생활용품",서울특별시 노원구 한글비석로 377 지하1층 1호,37.6589345,127.0733801,,
롯데마트 서초점,"쇼핑,유통>슈퍼,마트",서울특별시 서초구 서초대로38길 12,37.4901144,127.0063378,,http://company.lottemart.com/branch/bc/infoView.do?brnchCd=0100315#a
대서양식자재마트,"쇼핑,유통>슈퍼,마트",서울특별시 성북구 동소문로 98 지하1층,37.5922682,127.0164306,,https://www.instagram.com/meatflex_official
