이름,세부카테고리,주소,위도,경도,전화번호,링크
맥도날드 수유점,양식>햄버거,서울특별시 강북구 도봉로 342,37.6379360,127.0259400,,https://www.mcdonalds.co.kr/
버거킹 수유역점,양식>햄버거,서울특별시 강북구 도봉로 314 삼성화재 수유사옥 1층,37.6361427,127.0240314,,
맥도날드 서울번동DT점,양식>햄버거,서울특별시 강북구 월계로 191,37.6211878,127.0452758,,https://www.mcdonalds.co.kr/
맥도날드 미아DT점,양식>햄버거,서울특별시 강북구 삼양로 158,37.6181551,127.0216628,,https://www.mcdonalds.co.kr/
맥도날드 등촌DT점,양식>햄버거,서울특별시 강서구 양천로 546,37.5582672,126.8598141,,https://www.mcdonalds.co.kr/
명랑핫도그 신림점,양식>핫도그,서울특별시 관악구 남부순환로 1590 1층 명랑핫도그,37.4837310,126.9272956,,https://myungranghotdog.com/
맥도날드 고척DT점,양식>햄버거,서울특별시 구로구 경인로 393,37.4972441,126.8635139,,https://www.mcdonalds.co.kr/
맥도날드 서울시흥DT점,양식>햄버거,서울특별시 금천구 시흥대로 184,37.4504836,126.9027398,,https://www.mcdonalds.co.kr/
맥도날드 마리오아울렛점,양식>햄버거,서울특별시 금천구 디지털로 185 마리오아울렛1,37.4782883,126.8869133,,https://www.mcdonalds.co.kr/
버거킹 쌍문점,양식>햄버거,서울특별시 도봉구 도당로 6,37.6586497,127.0352601,,http://www.burgerking.co.kr/
버거킹 장안SK점,양식>햄버거,서울특별시 동대문구 한천로 100,37.5702150,127.0650209,,
맥도날드 노량진점,양식>햄버거,서울특별시 동작구 노량진로 158 정진학원,37.5134976,126.9435621,,https://www.mcdonalds.co.kr/
닥터로빈 흑석점,양식>이탈리아음식,"서울특별시 동작구 현충로 124 1F, 2F",37.5061925,126.9671585,,https://drrobbin.com/
쉐이크쉑 강남대로점,양식>햄버거,서울특별시 서초구 강남대로 421,37.5001017,127.0262223,,http://www.shakeshack.kr/
명랑핫도그 성신여대점,양식>핫도그,서울특별시 성북구 동소문로22길 6,37.5927099,127.0174315,,https://myungranghotdog.com/
맥도날드 목동점,양식>햄버거,서울특별시 양천구 목동로 221,37.5281864,126.8637741,,https://www.mcdonalds.co.kr/
쉐이크쉑 영등포 타임스퀘어점,양식>햄버거,서울특별시 영등포구 영중로 15 타임스퀘어 1층,37.5176387,126.9028832,,http://www.shakeshack.kr/
맥도날드 서울역점,양식>햄버거,서울특별시 용산구 한강대로 405 서울역(철도역),37.5542451,126.9704783,,https://www.mcdonalds.co.kr/
맥도날드 연신내점,양식>햄버거,서울특별시 은평구 연서로 213 성보빌딩,37.6176201,126.9192882,,https://www.mcdonalds.co.kr/
어글리스토브 상봉점,양식>브런치,서울특별시 중랑구 상봉로 131 1층,37.5975215,127.0920501,,http://www.instagram.com/uglystove
맥도날드 코엑스점,양식>햄버거,서울특별시 강남구 영동대로 511,37.5093761,127.0620981,,https://www.mcdonalds.co.kr/
버거킹 수서점,양식>햄버거,서울특별시 강남구 광평로 280 로즈데일오피스텔 1층,37.4874395,127.1030173,,http://www.burgerking.co.kr/
롯데리아 수서역사,양식>햄버거,서울특별시 강남구 밤고개로 99,37.4852530,127.1047529,,https://www.lotteria.com/
맥도날드 굽은다리역DT,양식>햄버거,서울특별시 강동구 양재대로 1587,37.5473207,127.1430561,,https://www.mcdonalds.co.kr/
버거킹 길동사거리점,양식>햄버거,서울특별시 강동구 양재대로 1440,37.5343996,127.1390807,,http://www.burgerking.co.kr
맥도날드 서울둔촌DT점,양식>햄버거,서울특별시 강동구 양재대로 1382,37.5293608,127.1373050,,https://www.mcdonalds.co.kr/
KFC 둔촌동점,양식>햄버거,서울특별시 강동구 양재대로 1390,37.5299096,127.1374570,,https://www.kfckorea.com/
롯데리아 암사역점,양식>햄버거,서울특별시 강동구 올림픽로 792,37.5517253,127.1284636,,https://www.lotteria.com/
맥도날드 상일동점,양식>햄버거,서울특별시 강동구 상일로6길 39,37.5497035,127.1751594,,https://www.mcdonalds.co.kr/
롯데리아 강일점,양식>햄버거,서울특별시 강동구 아리수로93길 33-9 강일프라자,37.5658124,127.1732377,,https://www.lotteria.com/
맘스터치 강동강일점,양식>햄버거,서울특별시 강동구 아리수로93길 27 1층,37.5656115,127.1739556,,https://momstouch.co.kr
버거킹 미아역점,양식>햄버거,서울특별시 강북구 도봉로 188 삼성생명빌딩,37.6255268,127.0267710,,http://www.burgerking.co.kr/
맥도날드 우장산DT점,양식>햄버거,서울특별시 강서구 강서로 216 우장산 맥도날드,37.5451137,126.8373854,,https://www.mcdonalds.co.kr/
버거킹 가양역점,양식>햄버거,서울특별시 강서구 양천로 476,37.5618210,126.8532037,,
롯데리아 신김포공항점,양식>햄버거,서울특별시 강서구 하늘길 112 김포공항국내선청사,37.5588356,126.8034112,,https://www.lotteria.com/
버거킹 내발산점,양식>햄버거,서울특별시 강서구 강서로 308,37.5530894,126.8367312,,
버거킹 신림역점,양식>햄버거,서울특별시 관악구 신림로 318,37.4826278,126.9301189,,
버거킹 구의점,양식>햄버거,서울특별시 광진구 아차산로 466,37.5397767,127.0939115,,
마초쉐프 건대점,양식>이탈리아음식,서울특별시 광진구 능동로 125 2층 마초쉐프 건대점,37.5421421,127.0714072,,https://app.catchtable.co.kr/ct/shop/machoswepeu_geondae
버거킹 군자능동점,양식>햄버거,서울특별시 광진구 능동로 245,37.5521860,127.0765646,,
버거킹 구로점,양식>햄버거,서울특별시 구로구 시흥대로 551,37.4824830,126.9006639,,http://www.burgerking.co.kr/
버거킹 개봉점,양식>햄버거,서울특별시 구로구 개봉로 55,37.4905160,126.8557562,,
롯데리아 개봉역점,양식>햄버거,서울특별시 구로구 경인로40길 47,37.4948679,126.8587230,,https://www.lotteria.com/
롯데리아 오류동역점,양식>햄버거,서울특별시 구로구 경인로20길 10 1층,37.4952476,126.8435879,,https://www.lotteria.com/
롯데리아 홈플러스금천점,양식>햄버거,서울특별시 금천구 시흥대로 387-2,37.4688923,126.8971158,,https://www.lotteria.com/
맥도날드 중계점,양식>햄버거,"서울특별시 노원구 중계로 218 원광빌딩 1,2층",37.6507946,127.0761312,,https://www.mcdonalds.co.kr/
맥도날드 세이브존 노원점,양식>햄버거,서울특별시 노원구 한글비석로 57 세이브존,37.6369171,127.0682707,,https://www.mcdonalds.co.kr/
버거킹 하계점,양식>햄버거,서울특별시 노원구 노원로 236,37.6390218,127.0752582,,
버거킹 공릉역점,양식>햄버거,서울특별시 노원구 동일로 1085 샘병원빌딩,37.6267352,127.0721831,,
롯데리아 석계점,양식>햄버거,서울특별시 노원구 화랑로 325 우현빌딩,37.6148790,127.0641830,,http://www.lotteria.com/
버거킹 창동역점,양식>햄버거,서울특별시 도봉구 노해로 389 제일빌딩 1층,37.6526993,127.0513548,,
롯데리아 청량리역사점,양식>햄버거,서울특별시 동대문구 왕산로 214 청량리역사 3층,37.5804911,127.0485841,,https://www.lotteria.com/
버거킹 신설동역점,양식>햄버거,서울특별시 동대문구 보문로 6,37.5760883,127.0235747,,
맥도날드 한국외대점,양식>햄버거,서울특별시 동대문구 휘경로 15,37.5959217,127.0618555,,https://www.mcdonalds.co.kr/
KFC 한국외대,양식>햄버거,서울특별시 동대문구 이문로 114,37.5968326,127.0606636,,https://www.kfckorea.com/
버거킹 사당역점,양식>햄버거,서울특별시 동작구 동작대로 21,37.4785549,126.9814176,,
버거킹 신대방삼거리역점,양식>햄버거,서울특별시 동작구 상도로 83,37.4998876,126.9297849,,
맥도날드 중앙대점,양식>햄버거,"서울특별시 동작구 흑석로 84 다길 14,",37.5061869,126.9588549,,https://www.mcdonalds.co.kr/
맥도날드 망원점,양식>햄버거,서울특별시 마포구 월드컵로 81,37.5560917,126.9097966,,https://www.mcdonalds.co.kr/
버거킹 공덕역점,양식>햄버거,서울특별시 마포구 마포대로 144 태영빌딩,37.5471190,126.9537182,,
맥도날드 공덕점,양식>햄버거,서울특별시 마포구 마포대로 55-1 마포트라팰리스 1층,37.5410909,126.9470909,,https://www.mcdonalds.co.kr/
맥도날드 홍제역점,양식>햄버거,서울특별시 서대문구 통일로 442-1,37.5886520,126.9446547,,https://www.mcdonalds.co.kr/
버거킹 홍제역점,양식>햄버거,서울특별시 서대문구 통일로 464 홍제빌딩,37.5900334,126.9430725,,http://www.burgerking.co.kr
KFC 명지대,양식>햄버거,서울특별시 서대문구 거북골로 53,37.5782996,126.9223494,,https://www.kfckorea.com/
버거킹 가재울뉴타운점,양식>햄버거,서울특별시 서대문구 수색로 56 성공타워1,37.5707166,126.9127153,,
쉐이크쉑 센트럴시티점,양식>햄버거,서울특별시 서초구 신반포로 176 반포 센트럴시티 빌딩 1층 119호,37.5044941,127.0048021,,http://www.shakeshack.kr/
맥도날드 양재SK DT점,양식>햄버거,서울특별시 서초구 바우뫼로 178 양재주유소,37.4781288,127.0395803,,https://www.mcdonalds.co.kr/
맥도날드 양재점,양식>햄버거,서울특별시 서초구 강남대로 213 엘타워 1층,37.4822769,127.0357656,,https://www.mcdonalds.co.kr/
롯데리아 답십리점,양식>햄버거,서울특별시 성동구 천호대로 308 인암빌딩 1층,37.5653064,127.0542731,,https://www.lotteria.com/
버거킹 안암오거리점,양식>햄버거,서울특별시 성북구 안암로 73,37.5830684,127.0291714,,http://www.burgerking.co.kr/
맥도날드 종암SK DT점,양식>햄버거,서울특별시 성북구 종암로 58,37.5957573,127.0359024,,https://www.mcdonalds.co.kr/
버거킹 종암점,양식>햄버거,서울특별시 성북구 종암로 123,37.6009122,127.0332911,,
맥도날드 송파잠실DT점,양식>햄버거,서울특별시 송파구 도곡로 434,37.5043739,127.0769824,,https://www.mcdonalds.co.kr/
맥도날드 신월DT점,양식>햄버거,서울특별시 양천구 남부순환로 404 맥도날드 신월DT,37.5314284,126.8308883,,https://www.mcdonalds.co.kr/
버거킹 신월점,양식>햄버거,서울특별시 양천구 화곡로 64,37.5391621,126.8291244,,
KFC 당산역점,양식>햄버거,서울특별시 영등포구 양평로 46,37.5344162,126.9016919,,https://www.kfckorea.com/
맥도날드 보라매점,양식>햄버거,서울특별시 영등포구 여의대방로 145 세인트빌딩,37.5003141,126.9201473,,https://www.mcdonalds.co.kr/
버거킹 신길점,양식>햄버거,서울특별시 영등포구 도신로 237,37.5126276,126.9171719,,
맥도날드 양평SK DT점,양식>햄버거,서울특별시 영등포구 선유로 195,37.5309017,126.8934671,,https://www.mcdonalds.co.kr/
버거킹 양평점,양식>햄버거,서울특별시 영등포구 선유로 130,37.5255871,126.8912137,,
맥도날드 이태원점,양식>햄버거,서울특별시 용산구 이태원로 142-1,37.5340320,126.9897092,,https://www.mcdonalds.co.kr/
롯데리아 서울역사점,양식>햄버거,서울특별시 용산구 한강대로 405 109호,37.5542332,126.9705947,,https://www.lotteria.com/
버거킹 서울역점,양식>햄버거,서울특별시 용산구 한강대로 405 2층,37.5542603,126.9703780,,http://www.burgerking.co.kr/
쉐이크쉑 용산 아이파크몰점,양식>햄버거,서울특별시 용산구 한강대로23길 55 아이파크몰 1층,37.5296697,126.9661094,,http://www.shakeshack.kr/
KFC 응암점,양식>햄버거,서울특별시 은평구 은평로 127,37.6005792,126.9219741,,https://www.kfckorea.com/
버거킹 불광점,양식>햄버거,서울특별시 은평구 통일로 750,37.6124870,126.9284954,,
버거킹 박석고개SK점,양식>햄버거,서울특별시 은평구 통일로 945,37.6272909,126.9194208,,
KFC 연신내역점,양식>햄버거,서울특별시 은평구 연서로 226-1,37.6184273,126.9205579,,https://www.kfckorea.com/
버거킹 녹번대성GS점,양식>햄버거,서울특별시 은평구 통일로 642,37.6039966,126.9351428,,
맥도날드 서울동묘역점,양식>햄버거,서울특별시 종로구 종로 339,37.5731204,127.0151495,,https://www.mcdonalds.co.kr/
맥도날드 서울시청점,양식>햄버거,서울특별시 중구 남대문로9길 51 효덕빌딩,37.5668620,126.9793605,,https://www.mcdonalds.co.kr/
쉐이크쉑 두타점,양식>햄버거,서울특별시 중구 장충단로 275 (을지로6가) 1층,37.5690812,127.0091145,,http://www.shakeshack.kr/
