이름,세부카테고리,주소,위도,경도,전화번호,링크
육풍 구로디지털단지점,"육류,고기요리>돼지고기구이",서울특별시 구로구 디지털로32나길 20,37.4838813,126.9005774,,http://naver.me/50f4QUaD
정통집 방이점,"육류,고기요리>돼지고기구이",서울특별시 송파구 올림픽로32길 22 1층 105호,37.5140109,127.1092711,,https://www.instagram.com/jeongtongzip_bangi
뭉텅 녹번점,"육류,고기요리>돼지고기구이",서울특별시 은평구 은평로 221-1 1층,37.6013321,126.9324420,,https://blog.naver.com/moongteong/
장충당 역촌점,"육류,고기요리>족발,보쌈",서울특별시 은평구 진흥로 33 1층,37.6006360,126.9191120,,http://instagram.com/bang__road
동궁찜닭 은평연신내점,"육류,고기요리>찜닭",서울특별시 은평구 연서로29길 14-12 2층 동궁찜닭 은평점,37.6193882,126.9192095,,https://www.instagram.com/donggung_ysn
화포식당 연신내점,"육류,고기요리>돼지고기구이",서울특별시 은평구 연서로29길 20-15 1층,37.6198320,126.9187797,,https://pf.kakao.com/_Hbxoxjxj
홍곱창 회기 본점,"육류,고기요리>곱창,막창,양",서울특별시 동대문구 회기로25길 60 1층 홍곱창,37.5923803,127.0569100,,https://www.facebook.com/홍곱창-2235567586667537/?fref=ts
뭉텅 신대방삼거리역점,"육류,고기요리>돼지고기구이",서울특별시 동작구 상도로 54 1층,37.4996403,126.9263816,,https://www.instagram.com/moongteong_sindaebang?igsh=bWwwOWNjdXE1anZv
진대감 마포점,"육류,고기요리>소고기구이",서울특별시 마포구 마포대로12길 54 1층,37.5466313,126.9544398,,https://gorillafnd.co.kr/
만족오향족발 시청점,"육류,고기요리>족발,보쌈",서울특별시 중구 서소문로 134-7,37.5632554,126.9760158,,https://blog.naver.com/manchum4755
진대감 선릉점,"육류,고기요리>소고기구이",서울특별시 강남구 테헤란로70길 25 백합힐 1층,37.5039962,127.0539791,,https://gorillafnd.co.kr/
하남돼지집 고덕역점,"육류,고기요리>돼지고기구이",서울특별시 강동구 동남로73길 26 1층,37.5531987,127.1549181,,
신사소곱창 천호점,"육류,고기요리>곱창,막창,양",서울특별시 강동구 천호대로155길 24,37.5390996,127.1262137,,https://www.instagram.com/no.1sinsaso_ch/
문가네정육식당 수유본점,"육류,고기요리>정육식당",서울특별시 강북구 한천로 1077 문가네정육식당,37.6423483,127.0231864,,http://moonganefood.com/
족발야시장 수유점,"육류,고기요리>족발,보쌈",서울특별시 강북구 도봉로87길 33,37.6389531,127.0240424,,http://www.족발야시장.com
신사소곱창 건대점,"육류,고기요리>곱창,막창,양",서울특별시 광진구 아차산로31길 39 1층 신사소곱창 건대점,37.5427380,127.0699917,,https://www.instagram.com/sinsaso.konkuk_univ
족발예찬 금천롯데캐슬점,"육류,고기요리>족발,보쌈",서울특별시 금천구 시흥대로 291 L26호,37.4597425,126.8965074,,
담소소사골순대육개장 가산디지털점,"육류,고기요리>순대,순댓국",서울특별시 금천구 디지털로9길 99 스타밸리,37.4813454,126.8849066,,
가장맛있는족발 공릉점,"육류,고기요리>족발,보쌈",서울특별시 노원구 동일로192길 46 송암빌딩,37.6265455,127.0755747,,
미스터축산,"육류,고기요리>정육식당",서울특별시 노원구 덕릉로 682 1층 1호,37.6584936,127.0753503,,
화포식당노원점,"육류,고기요리>돼지고기구이",서울특별시 노원구 상계로 72,37.6560055,127.0630148,,
