이름,세부카테고리,주소,위도,경도,전화번호,링크
노티드 스튜디오 청담,"음식점>카페,디저트>카페",서울특별시 강남구 도산대로53길 15 1층,37.5241929,127.0383006,,https://smartstore.naver.com/cafeknotted
셀렉티드닉스,"음식점>카페,디저트",서울특별시 강남구 테헤란로4길 37 1층,37.4961927,127.0309070,,https://www.instagram.com/sltdnicks/
솥내음 스타필드 코엑스몰점,음식점>한식,서울특별시 강남구 영동대로 513 지하1층 O-107호 라운지,37.5137665,127.0588841,,https://map.naver.com/p/entry/place/2017586094
중앙해장,음식점>한식>해장국,서울특별시 강남구 영동대로86길 17 육인빌딩,37.5082495,127.0655417,,http://www.joongangfnb.com
김태완스시 대치본점,"음식점>일식>초밥,롤",서울특별시 강남구 선릉로64길 20 1층,37.4979913,127.0539477,,
후토시 대치본점,음식점>일식>일식당,서울특별시 강남구 삼성로 212 은마종합상가 A블럭 지하40호,37.4956812,127.0634712,,https://www.instagram.com/futoshi_seoul/
스시마이우 선릉역점,"음식점>일식>초밥,롤",서울특별시 강남구 선릉로93길 22,37.5049240,127.0467449,,
플레이팅 수서역사점,음식점>푸드코트,서울특별시 강남구 밤고개로 99 지하1층 SB15호,37.4853596,127.1045727,,
사이드쇼 코엑스점,음식점>분식,서울특별시 강남구 테헤란로87길 22 지하1층 Q124호,37.5093045,127.0592509,,https://www.instagram.com/sideshow.official
썸띵어바웃커피,"음식점>카페,디저트","서울특별시 강남구 강남대로102길 30 1, 2, 3층",37.5028451,127.0278394,,
꽁티드툴레아,음식점>브런치,서울특별시 강남구 도산대로49길 39,37.5255700,127.0369045,,http://www.contedetulear.com
치즈룸 안다즈,음식점>이탈리아음식,서울특별시 강남구 논현로 854 안다즈호텔 지하 1층 112호,37.5253216,127.0288651,,https://app.catchtable.co.kr/ct/shop/cheeseroom?from=share&type=DINING
페어링룸,음식점>이탈리아음식,서울특별시 강남구 도산대로81길 14 1층,37.5254116,127.0478303,,https://app.catchtable.co.kr/ct/shop/pairingroom?from=share&type=DINING
백소정 고덕역점,음식점>일식>일식당,서울특별시 강동구 동남로75길 13-10 1층 105호,37.5538677,127.1550643,,https://baeksojeong.com/
스시도쿠 엔 고덕이케아강동 강동아이파크더리버몰점,음식점>일식>일식당,서울특별시 강동구 고덕비즈밸리로 51 3층,37.5666604,127.1573288,,
로니로티 천호점,음식점>이탈리아음식,서울특별시 강동구 천호대로 1027 동원천호빌딩 2층,37.5381231,127.1263862,,https://blog.naver.com/lottiekun
버섯잔치집 본점,음식점>한식,서울특별시 강동구 성내로 52 성원빌딩(네비는 버섯잔치집),37.5283615,127.1257470,,https://blog.naver.com/mushroomcook
스윗솔트,"음식점>카페,디저트",서울특별시 강동구 상암로 286,37.5454883,127.1541474,,http://www.instagram.com/sweetsaltcafe
미오정,음식점>일식>일식당,서울특별시 강동구 올림픽로70길 51-2 1층 미오정,37.5392743,127.1267405,,https://app.catchtable.co.kr/
스시야미 천호본점,음식점>일식>일식당,서울특별시 강동구 진황도로 4-9 스시야미,37.5396644,127.1280397,,https://catchtable.co.kr/sushiyammy
초밥의 신 부타 천호본점,"음식점>일식>초밥,롤",서울특별시 강동구 천호대로155길 11 1층,37.5385909,127.1260262,,https://www.instagram.com/butasushi/
