이름,세부카테고리,주소,위도,경도,전화번호,링크
무탄 코엑스점,중식>중식당,서울특별시 강남구 영동대로 513 스타필드 코엑스 B1층 H121호,37.5113180,127.0584607,,https://naver.me/5xnwgcBy
매운향솥,중식>중식당,서울특별시 광진구 동일로18길 61 1층,37.5391111,127.0662637,,http://youtu.be/gMnLMBdkTjg
이화룡 불짬뽕,중식>중식당,서울특별시 금천구 시흥대로122길 15,37.4694680,126.8990461,,
양복점 사당점,중식>양꼬치,서울특별시 동작구 사당로30길 108 1층,37.4800148,126.9807010,,https://www.instagram.com/yangbokjeom/
마라붐,중식>마라탕,서울특별시 성북구 동소문로20나길 13 1층 101호 마라붐 (전 마라공방),37.5921814,127.0174330,,https://blog.naver.com/pheby8888
공푸 성신여대본점,중식>중식당,서울특별시 성북구 삼선교로24길 29,37.5888146,127.0161214,,https://blog.naver.com/gongpu2014
무탄 압구정 본점,중식>중식당,서울특별시 강남구 논현로176길 22 1층,37.5273824,127.0302963,,https://naver.me/5JVVckyW
SMC싱푸차이나,중식>중식당,서울특별시 강남구 일원로 81 삼성의료원본관 지하1층,37.4884184,127.0849099,,
고향양꼬치 건대점,중식>양꼬치,서울특별시 광진구 동일로18길 101,37.5384814,127.0683438,,https://www.instagram.com/sheepkkochi/
빠오즈푸 본점,"중식>딤섬,중식만두",서울특별시 광진구 광나루로 373,37.5480935,127.0715598,,https://www.instagram.com/baizipu.2011
월래순교자관,중식>중식당,서울특별시 구로구 디지털로19길 13 1층,37.4802835,126.8898292,,
사천성 남구로점,중식>중식당,서울특별시 구로구 디지털로27길 47 (가리봉동) 1층,37.4836827,126.8913260,,
연경 연희점,중식>중식당,서울특별시 서대문구 연희로 145,37.5705981,126.9336393,,https://smartstore.naver.com/
목란,중식>중식당,서울특별시 서대문구 연희로15길 21,37.5683712,126.9304986,,
미르중식,중식>중식당,서울특별시 서대문구 명지대길 18 1층,37.5811844,126.9250383,,
초림정,중식>중식당,서울특별시 성북구 동소문로 181,37.5984074,127.0214606,,
안동반점,중식>중식당,서울특별시 성북구 고려대로1길 35-1,37.5870735,127.0190333,,
사천장,중식>중식당,서울특별시 성북구 종암로38길 49,37.6067737,127.0341000,,
마라공방 은평구청점,중식>마라탕,서울특별시 은평구 은평로 197 . 2층 외1필지,37.6015826,126.9296870,,
란주칼면,중식>중식당,서울특별시 중구 소공로 64 1층 란주칼면,37.5609724,126.9821083,,
하우마라탕,중식>중식당,서울특별시 강남구 강남대로94길 23 2층,37.4997698,127.0292507,,
동국성,중식>중식당,서울특별시 강동구 천호대로 985,37.5395126,127.1219653,,
차이나린찐,중식>중식당,서울특별시 강동구 강동대로 217 차이나린찐,37.5233541,127.1304967,,http://www.linchin.co.kr/
경성양꼬치 천호점,중식>양꼬치,서울특별시 강동구 올림픽로70길 56-2 1층,37.5389702,127.1266915,,
정아각 수유점,중식>중식당,서울특별시 강북구 한천로 1064 1층 정아각,37.6418567,127.0247634,,
라와마라탕 본점,중식>중식당,서울특별시 강북구 도봉로10길 32 1층,37.6141333,127.0310986,,https://www.instagram.com/lawamara_official
취향마라 목동사거리점,중식>중식당,서울특별시 강서구 등촌로5길 2 1층 107호,37.5334097,126.8631952,,
리옌 본점,중식>중식당,서울특별시 관악구 시흥대로 552 석천빌딩 2층,37.4822101,126.9013485,,https://app.catchtable.co.kr/ct/shop/liyan
아리차이,중식>중식당,서울특별시 관악구 신림동길 4,37.4876315,126.9283111,,http://www.arichai.com/
중화요리 팔공,중식>중식당,서울특별시 관악구 남부순환로 1680,37.4841255,126.9371352,,
명봉양꼬치 건대본점,중식>양꼬치,서울특별시 광진구 뚝섬로31길 59,37.5381215,127.0687132,,https://app.catchtable.co.kr/ct/shop/myeongbong?from=share&type=WAITING
용가회전훠궈 건대점,중식>중식당,서울특별시 광진구 동일로22길 101 2층,37.5410214,127.0697289,,https://www.instagram.com/loonger_official
백미원 건대점,중식>중식당,서울특별시 광진구 아차산로 224,37.5406255,127.0680394,,
샤오카오,중식>양꼬치,서울특별시 구로구 디지털로32나길 17-6 구로맛집 샤오카오,37.4842318,126.9003480,,
마라공방 고척돔점,중식>마라탕,서울특별시 구로구 중앙로6길 50 2층,37.5000900,126.8665761,,
실크로드,중식>중식당,"서울특별시 구로구 경인로 398 송림가, 실크로드",37.4971940,126.8647350,,https://blog.naver.com/gurosilkroad
손오공마라탕 구로디지털단지역점,중식>중식당,서울특별시 구로구 디지털로32길 87 2층,37.4833013,126.9000507,,
샤오당쟈마라탕 가산점,중식>마라탕,서울특별시 금천구 디지털로9길 32 1층 105호,37.4791894,126.8874524,,https://www.shaodangza.co.kr
불도장 중화요리전문점,중식>중식당,서울특별시 금천구 시흥대로115길 37 2층 불도장,37.4678753,126.8956855,,https://naver.me/xdpUThn9
라복궁 가산본점,중식>중식당,서울특별시 금천구 가산로9길 12-8,37.4777221,126.8911296,,
마라홀릭 마라탕 가산센트럴점,중식>중식당,서울특별시 금천구 디지털로10길 69 1동 G13호 마라홀릭,37.4750794,126.8906542,,
동흥관,중식>중식당,서울특별시 금천구 시흥대로63길 20,37.4551212,126.8985905,,http://donghung.co.kr
양궈푸마라탕 가산점,중식>중식당,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리 A동 지하1층 B109,37.4807328,126.8821427,,
설화,중식>중식당,서울특별시 노원구 상계로5길 12 동양상가 2층 설화중화식당 (202-1호),37.6567497,127.0645118,,http://instagram.com/sulhwa_chinese_bistro
이소,중식>중식당,서울특별시 노원구 한글비석로 269 1층 117호,37.6515934,127.0767596,,https://www.instagram.com/iyso_24
문성해물짬뽕쌍문본점,중식>중식당,서울특별시 도봉구 우이천로 294-1,37.6440220,127.0299499,,http://cityfood.co.kr/h.php?id=31374
춘리마라탕 방학점,중식>마라탕,서울특별시 도봉구 도봉로150다길 28 상가 1층 110호,37.6674542,127.0449841,,
쌍문동판다쓰,중식>중식당,서울특별시 도봉구 우이천로24길 49 다온쉐르빌 1층,37.6455796,127.0316891,,http://www.instagram.com/panda.in.ssangmoon
차이나타운,중식>중식당,서울특별시 도봉구 도봉로181길 41 차이나타운,37.6843754,127.0435096,,
역대짬뽕 본점,중식>중식당,"서울특별시 동대문구 천호대로 393 1층, 매장앞과 기계식주차장 완비",37.5620173,127.0628304,,https://www.threads.net/@yeokdae_main
영화장,중식>중식당,서울특별시 동대문구 휘경로 3-8,37.5965687,127.0609498,,
램타운양꼬치 사당점,중식>양꼬치,서울특별시 동작구 동작대로1길 28,37.4773858,126.9799260,,
마라공방 노량진점,중식>마라탕,서울특별시 동작구 노량진로16길 16 1층,37.5127868,126.9435068,,
