이름,세부카테고리,주소,위도,경도,전화번호,링크
뉴욕러브베이글 강남본점,"카페,디저트>베이글",서울특별시 강남구 봉은사로2길 31 W빌딩 1층,37.5026122,127.0263860,,https://www.nylovebagel.com/
런던베이글뮤지엄 도산,"카페,디저트>베이커리","서울특별시 강남구 언주로168길 33 1, 2층",37.5260816,127.0364528,,https://app.catchtable.co.kr/ct/shop/london_bagel_museum_dosan
SADDLER HAUS,"카페,디저트>와플",서울특별시 강남구 도산대로17길 10 B1 새들러하우스,37.5193887,127.0249425,,https://www.instagram.com/saddlerhaus_bakery
이디야커피랩,"카페,디저트>카페",서울특별시 강남구 논현로 636 이디야빌딩,37.5104275,127.0328569,,http://www.ediya.com/
테라로사 포스코센터점,"카페,디저트>카페",서울특별시 강남구 테헤란로 440 포스코센터 1층,37.5060634,127.0560829,,https://terarosa.com
브랜뉴하이몬드,"카페,디저트>베이커리","서울특별시 강동구 천호옛14길 11 브랜뉴하이몬드 1, 2층",37.5363003,127.1261209,,https://smartstore.naver.com/brandnewhimont
스타벅스 강동구청DT점,"카페,디저트>카페",서울특별시 강동구 성내로 32 (성내동),37.5292537,127.1238440,,http://www.starbucks.co.kr/
스타벅스 명일이마트점,"카페,디저트>카페",서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장,37.5541787,127.1561340,,http://www.starbucks.co.kr/
파리바게뜨 굽은다리역점,"카페,디저트>베이커리",서울특별시 강동구 양재대로 1564 (명일동),37.5450969,127.1430050,,https://www.paris.co.kr/
테라로사 길동점,"카페,디저트>카페",서울특별시 강동구 천호대로 1221,37.5360495,127.1463729,,https://terarosa.com
뚜레쥬르 길동중앙점,"카페,디저트>베이커리",서울특별시 강동구 양재대로 1478,37.5377898,127.1402086,,http://www.tlj.co.kr/
파리바게뜨 카페수유역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 337 (수유동),37.6379808,127.0252662,,http://www.paris.co.kr/
스타벅스 수유역점,"카페,디저트>카페",서울특별시 강북구 도봉로 342 (번동),37.6380639,127.0260631,,http://www.starbucks.co.kr/
하이그라운드제빵소,"카페,디저트>베이커리",서울특별시 강북구 삼양로181길 161,37.6702903,127.0073880,,https://www.instagram.com/highground_bakery_official/
스타벅스 강북구청사거리점,"카페,디저트>카페",서울특별시 강북구 도봉로 365 (수유동),37.6399878,127.0274331,,http://www.starbucks.co.kr/
핫브레드 수유역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 338,37.6377452,127.0253569,,
파리바게뜨 까페미아역점,"카페,디저트>베이커리",서울특별시 강북구 도봉로 178 파리바게뜨,37.6246338,127.0271305,,https://www.paris.co.kr/
안스베이커리 롯데백화점 김포공항점,"카페,디저트>베이커리",서울특별시 강서구 하늘길 77 롯데백화점 김포공항점 GF,37.5630250,126.8036235,,https://www.instagram.com/ansbakery_/
폴 바셋 롯데백화점 김포공항점,"카페,디저트>카페",서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 GF층,37.5631559,126.8031319,,https://www.baristapaulbassett.co.kr/Index.pb
타르데마 베이커리 방화,"카페,디저트>베이커리",서울특별시 강서구 양천로26길 65 1층,37.5722340,126.8202344,,https://smartstore.naver.com/tardemah/products/12737787522
쟝블랑제리 낙성대본점,"카페,디저트>베이커리",서울특별시 관악구 낙성대역길 8,37.4771360,126.9619864,,https://smartstore.naver.com/jeanboulangerie
스타벅스 신림타임스트림점,"카페,디저트>카페",서울특별시 관악구 신림로 330 타임스트림 1층,37.4840710,126.9302583,,http://www.starbucks.co.kr/
스타벅스 서울대입구역점,"카페,디저트>카페",서울특별시 관악구 남부순환로 1812 (봉천동),37.4812073,126.9514006,,http://www.starbucks.co.kr/
스타벅스 서울대역점,"카페,디저트>카페",서울특별시 관악구 남부순환로 1817 (봉천동),37.4816626,126.9520164,,http://www.starbucks.co.kr/
쟝블랑제리 롯데백화점관악점,"카페,디저트>베이커리",서울특별시 관악구 봉천로 209,37.4903811,126.9247798,,
몽마베이커리,"카페,디저트>베이커리",서울특별시 관악구 남부순환로248길 20,37.4751720,126.9655150,,
파리바게뜨 신림남부점,"카페,디저트>베이커리",서울특별시 관악구 호암로 602,37.4708534,126.9337927,,https://www.paris.co.kr/
파리바게뜨 서울대입구역점,"카페,디저트>베이커리",서울특별시 관악구 봉천로 475,37.4823618,126.9530876,,https://www.paris.co.kr/
스타벅스 군자역점,"카페,디저트>카페",서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.5570260,127.0791098,,http://www.starbucks.co.kr/
스타벅스 아차산역점,"카페,디저트>카페",서울특별시 광진구 천호대로 676 (구의동),37.5506211,127.0900320,,http://www.starbucks.co.kr/
파리바게뜨 대공원점,"카페,디저트>베이커리",서울특별시 광진구 천호대로 659 아차산웨딩홀,37.5523733,127.0898269,,https://www.paris.co.kr/
크리스피크림도넛 건대스타시티점,"카페,디저트>도넛",서울특별시 광진구 아차산로 262 더샵스타시티,37.5385627,127.0730552,,https://www.lotteeatz.com/eatzMain
탐앤탐스 블랙그레이트점,"카페,디저트>카페",서울특별시 광진구 아차산로 426,37.5377991,127.0896988,,
뚜레쥬르 건국대병원점,"카페,디저트>베이커리",서울특별시 광진구 능동로 120-1 지하1층,37.5403764,127.0718276,,
그랜드 워커힐 서울 더파빌리온,"카페,디저트>카페",서울특별시 광진구 워커힐로 177 그랜드 워커힐 서울 1층 로비,37.5551690,127.1107738,,https://www.walkerhill.com/grandwalkerhillseoul/dining/ThePavilion
스타벅스 포포인츠구로점,"카페,디저트>카페",서울특별시 구로구 디지털로32길 72 구로호텔 1층 (구로동),37.4832868,126.8988209,,http://www.starbucks.co.kr/
스타벅스 구로NC점,"카페,디저트>카페",서울특별시 구로구 구로중앙로 152 (구로동) 구로NC,37.5012190,126.8827980,,http://www.starbucks.co.kr/
스타벅스 오류동역점,"카페,디저트>카페",서울특별시 구로구 경인로 216 (오류동),37.4962155,126.8448614,,http://www.starbucks.co.kr/
뚜레쥬르 구로디지털직영점,"카페,디저트>베이커리",서울특별시 구로구 디지털로32길 79,37.4833969,126.8998395,,
파리바게뜨 오류역점,"카페,디저트>베이커리",서울특별시 구로구 경인로 203-2 1층,37.4961498,126.8436077,,http://www.paris.co.kr/
파리바게뜨 구로제일점,"카페,디저트>베이커리",서울특별시 구로구 디지털로34길 55 1층 111호 파리바게뜨,37.4837246,126.8991964,,http://www.paris.co.kr/
파리바게뜨 신도림역점,"카페,디저트>베이커리",서울특별시 구로구 경인로 661 신도림1차푸르지오,37.5093533,126.8878851,,https://www.paris.co.kr/
파리바게뜨 신도림테크노마트점,"카페,디저트>베이커리",서울특별시 구로구 새말로 97 신도림테크노마트,37.5065136,126.8904736,,http://www.paris.co.kr/
애월빵공장 가산점,"카페,디저트>베이커리",서울특별시 금천구 디지털로10길 37 아스크타워 S동,37.4769610,126.8895798,,https://blog.naver.com/aewolbakery
스타벅스 가산디지털점,"카페,디저트>카페","서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층",37.4800605,126.8823115,,http://www.starbucks.co.kr/
스타벅스 가산에스케이점,"카페,디저트>카페","서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층",37.4808240,126.8810007,,http://www.starbucks.co.kr/
핫브레드 가산디지털단지역점,"카페,디저트>베이커리",서울특별시 금천구 벚꽃로 309,37.4815957,126.8825595,,
