가맹점명,사용가능 지역화폐,시도명,시군구명,소재지도로명주소,데이터기준일자
#11,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙북로 38(목동, 롯데캐슬위너아파트) 롯데캐슬상가107호",2024-08-20
(FJ)줄넘기  점핑클럽,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로 65 ,2층  201호(신정동,  센타프라자)",2024-08-20
(H.K)  썬루프  강서,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로4길 6 선우쉐르빌 101호,2024-08-20
(NOW)지금,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 등촌로 204, 1층 104호 (목동, 목동벨로스주상복합) (NOW) 지금",2024-08-20
(S&P)에스앤피 의족케어 센터,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 월정로 6, 101호 (신월동) 401호",2024-08-20
(WT)메소드 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로 345(목동) 지하1층 B113호,2024-08-20
(사)서울시지체장애인협회양천구지회,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 신월로 126 (신월동),2024-08-20
(사)한국연극협회,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 225 (목동) 8층,2024-08-20
(신)종로떡방,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 55 (신정동) 밀레니엄프라자 108호,2024-08-20
(애)라벨르헤어샵,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로12길 9 (목동, 목동청학아파트) 애라벨르헤어숍",2024-08-20
(주) 계상,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 남부순환로86길 22 (신정동) 3층,2024-08-20
(주) 계상,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 남부순환로86길 22, 3-4층 (신정동)",2024-08-20
(주) 네퍼스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시  양천구 공항대로 544 (목동) 주식회사 네퍼스,2024-08-20
(주) 농업법인 쿱스토어 목동파리공원점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 목동동로 391, 101호(목동, 현대파크빌) 쿱스토어",2024-08-20
(주) 대흥마트목동2단지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 70 관리동 107호,2024-08-20
(주) 레드페이스 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동로25길 25(신정동) ,",2024-08-20
